source_status,normalized_status,analytical_group,include_in_main_analysis,target_isil,rationale,source_count
Biblioteca confluita in IT-CA0301,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-CA0301,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,2
Biblioteca confluita in IT-CA0318,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-CA0318,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-CA0514,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-CA0514,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-CB0111,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-CB0111,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-CH0164,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-CH0164,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-CN0153,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-CN0153,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-CN0199,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-CN0199,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-CN0266,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-CN0266,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-CR0062,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-CR0062,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-CR0228,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-CR0228,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-CS0041,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-CS0041,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-CS0083,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-CS0083,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,2
Biblioteca confluita in IT-CS0138,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-CS0138,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,9
Biblioteca confluita in IT-CT0042,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-CT0042,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-CT0043,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-CT0043,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-CT0208,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-CT0208,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,2
Biblioteca confluita in IT-CT0211,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-CT0211,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-CT0212,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-CT0212,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,2
Biblioteca confluita in IT-CT0213,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-CT0213,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,6
Biblioteca confluita in IT-CT0214,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-CT0214,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,6
Biblioteca confluita in IT-CT0230,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-CT0230,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,2
Biblioteca confluita in IT-CT0337,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-CT0337,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,39
Biblioteca confluita in IT-CZ0124,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-CZ0124,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-FC0011,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-FC0011,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-FC0131,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-FC0131,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,3
Biblioteca confluita in IT-FC0136,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-FC0136,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-FE0107,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-FE0107,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,20
Biblioteca confluita in IT-FE0162,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-FE0162,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,25
Biblioteca confluita in IT-FE0163,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-FE0163,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,3
Biblioteca confluita in IT-FE0164,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-FE0164,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-FI0098,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-FI0098,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-FI0196,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-FI0196,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-FI0211,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-FI0211,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,6
Biblioteca confluita in IT-FI0212,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-FI0212,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-FI0215,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-FI0215,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,32
Biblioteca confluita in IT-FI0224,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-FI0224,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-FI0225,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-FI0225,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-FI0227,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-FI0227,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,3
Biblioteca confluita in IT-FI0228,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-FI0228,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,2
Biblioteca confluita in IT-FI0230,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-FI0230,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,6
Biblioteca confluita in IT-FI0231,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-FI0231,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,5
Biblioteca confluita in IT-FI0233,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-FI0233,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,11
Biblioteca confluita in IT-FI0363,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-FI0363,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-FI0501,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-FI0501,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-FI0553,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-FI0553,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,2
Biblioteca confluita in IT-FI0597,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-FI0597,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,11
Biblioteca confluita in IT-FI0598,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-FI0598,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,6
Biblioteca confluita in IT-FI0611,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-FI0611,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-FM0049,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-FM0049,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,5
Biblioteca confluita in IT-FR0017,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-FR0017,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-FR0098,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-FR0098,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-GE0039,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-GE0039,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,3
Biblioteca confluita in IT-GE0040,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-GE0040,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,10
Biblioteca confluita in IT-GE0044,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-GE0044,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,3
Biblioteca confluita in IT-GE0045,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-GE0045,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,2
Biblioteca confluita in IT-GE0057,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-GE0057,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-GE0066,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-GE0066,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,6
Biblioteca confluita in IT-GE0105,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-GE0105,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,2
Biblioteca confluita in IT-GE0185,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-GE0185,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,1
Biblioteca confluita in IT-GE0232,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-GE0232,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,4
Biblioteca confluita in IT-GE0237,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-GE0237,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,3
Biblioteca confluita in IT-GE0242,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-GE0242,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,2
Biblioteca confluita in IT-GE0254,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-GE0254,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,2
Biblioteca confluita in IT-GE0257,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-GE0257,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,13
Biblioteca confluita in IT-GE0262,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-GE0262,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.,3
