isil,contact_index,contact_type,contact_value,source
IT-AG0017,2,pec,protocollo@comunecattolicaeraclea.it,contatti.xml
IT-AG0017,3,telefono,+39 0922840544,contatti.xml
IT-AG0017,4,url,http://www2.comune.cattolicaeraclea.ag.it/cattolicaera/zf/index.php/uffici/index/detail/id/3,contatti.xml
IT-AG0018,1,e-mail,bibliotecacomunedicianciana@gmail.com,contatti.xml
IT-AG0018,2,telefono,+39 0922987134,contatti.xml
IT-AG0018,3,url,https://www.comunecianciana.gov.it/,contatti.xml
IT-AG0018,4,url,https://it-it.facebook.com/bibliotecacacomulale.paoloborsellinocianciana/,contatti.xml
IT-AG0019,1,e-mail,biblioteca@comune.comitini.ag.it,contatti.xml
IT-AG0019,2,fax,+39 0922600386,contatti.xml
IT-AG0019,3,pec,anagrafe@pec.comune.comitini.ag.it,contatti.xml
IT-AG0019,4,telefono,+39 0922600359,contatti.xml
IT-AG0019,5,url,http://www.comune.comitini.ag.it/biblioteca.asp,contatti.xml
IT-AG0022,1,e-mail,biblioteca@comune.favara.ag.it,contatti.xml
IT-AG0022,2,e-mail,domenico.amoroso@comune.favara.ag.it,contatti.xml
IT-AG0022,3,fax,+39 0922448500,contatti.xml
IT-AG0022,4,pec,comune.favara@pec.it,contatti.xml
IT-AG0022,5,telefono,+39 092234233,contatti.xml
IT-AG0024,1,e-mail,cultura@comunedigrotte.org,contatti.xml
IT-AG0024,2,e-mail,biblioteca@comunedigrotte.org,contatti.xml
IT-AG0024,3,pec,comunedigrotte@pec.it,contatti.xml
IT-AG0024,4,telefono,+39 0922943109,contatti.xml
IT-AG0024,5,telefono,+39 0922947503,contatti.xml
IT-AG0024,6,url,http://www.grotte.info/ag/biblioteca.htm,contatti.xml
IT-AG0024,7,url,www.facebook.com/bibliotecacomunalegrotte,contatti.xml
IT-AG0025,1,e-mail,ufficioelettorale@comune.joppologiancaxio.ag.it,contatti.xml
IT-AG0025,2,pec,ufficio.elettorale@pec.comune.joppologiancaxio.ag.it,contatti.xml
IT-AG0025,3,telefono,+39 0922631047,contatti.xml
IT-AG0025,4,telefono,+39 3285664574,contatti.xml
IT-AG0025,5,url,http://www.comune.joppologiancaxio.ag.it/,contatti.xml
IT-AG0027,1,e-mail,biblioteca.luccasicula@gmail.com,contatti.xml
IT-AG0027,2,fax,+39 092560585,contatti.xml
IT-AG0027,3,pec,comunediluccasicula@pec.it,contatti.xml
IT-AG0027,4,telefono,+39 3202981132,contatti.xml
IT-AG0027,5,url,www.comune.luccasicula.ag.it,contatti.xml
IT-AG0029,1,e-mail,istituzione@comune.menfi.ag.it,contatti.xml
IT-AG0029,2,fax,+39 092570502,contatti.xml
IT-AG0029,3,pec,istituzionefedericomenfi@pec.comune.menfi.ag.it,contatti.xml
IT-AG0029,4,telefono,+39 092570500,contatti.xml
IT-AG0029,5,url,www.istituzionefedericosecondo.it,contatti.xml
IT-AG0030,1,e-mail,bibliotecamontallegro@hotmail.it,contatti.xml
IT-AG0030,2,e-mail,comunemontallegro@gmail.com,contatti.xml
IT-AG0030,3,pec,comune.montallegro@pec.it,contatti.xml
IT-AG0030,4,telefono,+39 0922845067,contatti.xml
IT-AG0030,5,url,https://www.provincia.agrigento.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/3192/UT/systemPrint#95698b,contatti.xml
IT-AG0031,1,e-mail,bibliotecafeliciana@alice.it,contatti.xml
IT-AG0031,2,fax,+39 0922957324,contatti.xml
IT-AG0031,3,pec,protocollo.comune.naro@pec.it,contatti.xml
IT-AG0031,4,telefono,+39 0922953020,contatti.xml
IT-AG0031,5,url,http://www.comune.naro.ag.it,contatti.xml
IT-AG0031,6,url,www.facebook.com/Biblioteca-Feliciana-Naro-AG-301557346540076/,contatti.xml
IT-AG0033,1,e-mail,bibliotecarealmonte@libero.it,contatti.xml
IT-AG0033,2,e-mail,cumbo.comunerealmonte@gmail.com,contatti.xml
IT-AG0033,3,pec,protocollo.realmonte@pec.it,contatti.xml
IT-AG0033,4,telefono,+39 0922816142,contatti.xml
IT-AG0033,5,telefono,+39 0922810804,contatti.xml
IT-AG0033,6,url,http://www.comune.realmonte.ag.it/bandi-e-avvisi/turismo-e-cultura,contatti.xml
IT-AG0034,1,e-mail,biblioteca@comune.sambucadisicilia.ag.it,contatti.xml
IT-AG0034,2,pec,protocollo@pec.comune.sambucadisicilia.ag.it,contatti.xml
IT-AG0034,3,telefono,+39 0925940234,contatti.xml
IT-AG0036,1,e-mail,ufficiosegreteria@comunesanbiagioplatani.it,contatti.xml
IT-AG0036,2,pec,uff.protocollocomunesanbiagioplatani@pec.it,contatti.xml
IT-AG0036,3,telefono,+39 0922918912,contatti.xml
IT-AG0036,4,url,www.comunesanbiagioplatani.it,contatti.xml
IT-AG0037,1,e-mail,thelibrarians010@gmail.com,contatti.xml
IT-AG0037,2,fax,+39 0922903336,contatti.xml
IT-AG0037,3,pec,comune.sangiovannigemini.ag@pec.it,contatti.xml
IT-AG0037,4,telefono,+39 0922900082,contatti.xml
IT-AG0038,1,e-mail,protocollo@comune.santangelomuxaro.ag.it,contatti.xml
IT-AG0038,2,e-mail,sindaco@comune.santangelomuxaro.ag.it,contatti.xml
IT-AG0038,3,fax,+39 0922919805,contatti.xml
IT-AG0038,4,pec,protocollo@pec.comune.santangelomuxaro.ag.it,contatti.xml
IT-AG0038,5,telefono,+39 0922919518,contatti.xml
IT-AG0038,6,telefono,+39 0922919506,contatti.xml
IT-AG0039,1,e-mail,biblioteca@comune.santamargheritadibelice.ag.it,contatti.xml
IT-AG0039,2,fax,+39 092533403,contatti.xml
IT-AG0039,3,pec,santamargheritadibelice.protocollo@pec.it,contatti.xml
IT-AG0039,4,telefono,+39 092533403,contatti.xml
IT-AG0040,1,e-mail,servizi-sociali@comune.santostefanoquisquina.ag.it,contatti.xml
IT-AG0040,2,pec,servizi-sociali@pec.comune.santostefanoquisquina.ag.it,contatti.xml
IT-AG0040,3,telefono,+39 0922982296,contatti.xml
IT-AG0040,4,url,https://www.comune.santostefanoquisquina.ag.it/,contatti.xml
IT-AG0042,1,e-mail,biblioteca@comunedisciacca.it,contatti.xml
IT-AG0042,2,fax,+39 092220447,contatti.xml
IT-AG0042,3,pec,protocollo@comunedisciacca.telecompost.it,contatti.xml
IT-AG0042,4,telefono,+39 092520111,contatti.xml
IT-AG0042,5,url,https://comune.sciacca.ag.it/biblioteca-comunale/,contatti.xml
IT-AG0043,1,e-mail,affarisociali@comune.villafrncasicula.ag.it,contatti.xml
IT-AG0043,2,pec,protocollocomunevillafrancasicula@pec.it,contatti.xml
IT-AG0043,3,telefono,+39 0925550041,contatti.xml
IT-AG0044,1,telefono,+39 0922418164,contatti.xml
IT-AG0045,1,pec,servizio.protocollo@pec.comune.agrigento.it,contatti.xml
IT-AG0045,2,telefono,+39 0922597864,contatti.xml
IT-AG0045,3,url,https://www.comune.agrigento.it/la-citta/biblioteche/,contatti.xml
IT-AG0051,1,e-mail,servizisocioculturali@comune.alessandriadellarocca.ag.it,contatti.xml
IT-AG0051,2,fax,+39 0922985337,contatti.xml
IT-AG0051,3,pec,servizisocioculturali.pec@comunealessandriadellarocca.it,contatti.xml
IT-AG0051,4,telefono,+39 0922985337,contatti.xml
IT-AG0051,5,telefono,+39 0922985437,contatti.xml
IT-AG0051,6,url,www.comune.alessandriadellarocca.ag.it,contatti.xml
IT-AG0054,1,e-mail,comunediburgio@virgilio.it,contatti.xml
IT-AG0054,2,pec,comunediburgio@pec.it,contatti.xml
IT-AG0054,3,telefono,+39 092565016,contatti.xml
IT-AG0054,4,url,https://www.comune.burgio.ag.it/,contatti.xml
IT-AG0055,1,fax,+39 092568904,contatti.xml
IT-AG0055,2,pec,info@pec.comune.calamonaci.ag.it,contatti.xml
IT-AG0055,3,telefono,+39 092568377,contatti.xml
IT-AG0055,4,url,https://www.comune.calamonaci.ag.it/,contatti.xml
IT-AG0058,1,e-mail,p.curtopelle@comune.canicatti.ag.it,contatti.xml
IT-AG0058,2,fax,+39 0922734503,contatti.xml
IT-AG0058,3,pec,biblioteca@pec.comune.canicatti.ag.it,contatti.xml
IT-AG0058,4,telefono,+39 0922734503,contatti.xml
IT-AG0058,5,url,http://www.comune.canicatti.ag.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/428,contatti.xml
IT-AG0060,1,e-mail,biblioteca@comune.casteltermini.ag.it,contatti.xml
IT-AG0060,2,e-mail,uff.turismo@comune.casteltermini.ag.it,contatti.xml
IT-AG0060,3,pec,comunedicasteltermini@pec.it,contatti.xml
IT-AG0060,4,telefono,+39 0922916615,contatti.xml
IT-AG0060,5,telefono,+39 3385275541,contatti.xml
IT-AG0060,6,url,www.comune.casteltermini.ag.it,contatti.xml
IT-AG0062,1,e-mail,silent.lampedusa@ibbyitalia.it,contatti.xml
IT-AG0062,2,telefono,+39 3491614418,contatti.xml
IT-AG0062,3,url,https://www.facebook.com/BiblioLampedusa/,contatti.xml
IT-AG0064,1,e-mail,biblioteca@comune.montevago.ag.it,contatti.xml
IT-AG0064,2,e-mail,calogera.dimaria@comune.montevago.ag.it,contatti.xml
IT-AG0064,3,pec,protocollo.montevago@pec.it,contatti.xml
IT-AG0064,4,telefono,+39 092539633,contatti.xml
IT-AG0064,5,telefono,+39 3275423336,contatti.xml
IT-AG0064,6,url,http://www.comune.montevago.ag.it/montevago/hh/index.php,contatti.xml
IT-AG0065,1,e-mail,biblioteca@comune.palmadimontechiaro.ag.it,contatti.xml
IT-AG0065,2,fax,+39 0922968399,contatti.xml
IT-AG0065,3,pec,protocollo@comune.palmadimontechiaro.legalmail.it,contatti.xml
IT-AG0065,4,telefono,+39 0922968399,contatti.xml
IT-AG0065,5,url,www.comune.palmadimontechiaro.ag.it,contatti.xml
IT-AG0066,1,e-mail,c.assello@comune.portoempedocle.ag.it,contatti.xml
IT-AG0066,2,pec,comune.portoempedocle@pec.it,contatti.xml
IT-AG0066,3,telefono,+39 0922531787,contatti.xml
IT-AG0066,4,telefono,+39 0922531789,contatti.xml
IT-AG0066,5,url,www.comune.portoempedocle.ag.it,contatti.xml
IT-AG0067,1,telefono,0922941852,contatti.xml
IT-AG0068,1,telefono,+39 0922948028,contatti.xml
IT-AG0069,1,pec,pec@comuneraffadali.it,contatti.xml
IT-AG0069,2,telefono,+39 0922475803,contatti.xml
IT-AG0070,1,e-mail,biblioteca@comune.ravanusa.ag.it,contatti.xml
IT-AG0070,2,e-mail,direttrice.biblioteca@comune.ravanusa.ag.it,contatti.xml
IT-AG0070,3,pec,comune.ravanusa@pec.it,contatti.xml
IT-AG0070,4,telefono,+39 0922836319,contatti.xml
IT-AG0070,5,telefono,+39 3287411882,contatti.xml
IT-AG0070,6,url,www.comune.ravanusa.ag.it,contatti.xml
IT-AG0071,1,e-mail,biblioteca@comunediribera.ag.it,contatti.xml
IT-AG0071,2,pec,protocollogenerale@pec.comune.ribera.ag.it,contatti.xml
IT-AG0071,3,telefono,+39 0925561256,contatti.xml
IT-AG0071,4,telefono,+39 0925561257,contatti.xml
IT-AG0071,5,url,http://www.comune.ribera.ag.it/flex/cm/pages/serveblob.php/l/it/idpagina/3722,contatti.xml
IT-AG0072,1,e-mail,bibliotecacomunale4@gmail.com,contatti.xml
IT-AG0072,2,e-mail,servsoc.selisabetta@gmail.com,contatti.xml
IT-AG0072,3,pec,santaelisabetta.solidarietasociale@pec.it,contatti.xml
IT-AG0072,4,telefono,+39 0922479296,contatti.xml
IT-AG0072,5,telefono,+39 0922479078,contatti.xml
IT-AG0072,6,url,http://opacagrigento.nexusit.it/openweb/agr021/,contatti.xml
IT-AG0075,1,e-mail,protocollo@comune.siculiana.ag.it,contatti.xml
IT-AG0075,2,pec,protocollo@pec.comune.siculiana.ag.it,contatti.xml
IT-AG0075,3,telefono,+39 0922818438,contatti.xml
IT-AG0078,1,e-mail,biblioteca@provincia.agrigento.it,contatti.xml
IT-AG0078,2,pec,protocollo@pec.provincia.agrigento.it,contatti.xml
IT-AG0078,3,telefono,+39 0922593365,contatti.xml
IT-AG0078,4,url,www.provincia.agrigento.it,contatti.xml
IT-AG0079,1,e-mail,servizio.protocollo@comune.agrigento.it,contatti.xml
IT-AG0079,2,pec,servizio.protocollo@pec.comune.agrigento.it,contatti.xml
IT-AG0079,3,telefono,+39 0922604910,contatti.xml
IT-AG0079,4,url,https://www.comune.agrigento.it/la-citta/biblioteche/,contatti.xml
IT-AG0085,1,e-mail,biblioteca.lucchesiana@gmail.com,contatti.xml
IT-AG0085,2,telefono,092222217,contatti.xml
IT-AG0085,3,url,https://www.facebook.com/bibliotecalucchesiana/,contatti.xml
IT-AG0089,1,e-mail,bibliotecacomunale@comune.licata.ag.it,contatti.xml
IT-AG0089,2,e-mail,bibliotecalicata@virgilio.it,contatti.xml
IT-AG0089,3,fax,+39 09221837304,contatti.xml
IT-AG0089,4,pec,protocollo@cert.comune.licata.ag.it,contatti.xml
IT-AG0089,5,telefono,+39 0922868228,contatti.xml
IT-AG0089,6,telefono,+39 0922868229,contatti.xml
IT-AG0089,7,url,www.facebook.com/Biblioteca-Comunale-Luigi-Vitali-134902997116969/,contatti.xml
IT-AG0090,1,e-mail,protocollo@comune.campobellodilicata.ag.it,contatti.xml
IT-AG0090,2,pec,protocollo@legal.comune.campobellodilicata.ag.it,contatti.xml
IT-AG0090,3,telefono,+39 0922838730,contatti.xml
IT-AG0090,4,telefono,+39 3351267241,contatti.xml
IT-AG0090,5,telefono,+39 0922837402,contatti.xml
IT-AG0090,6,url,www.comune.campobellodilicata.ag.it,contatti.xml
IT-AG0091,1,e-mail,parcodeitempli.uo5@regione.sicilia.it,contatti.xml
IT-AG0091,2,fax,+39 092221774,contatti.xml
IT-AG0091,3,pec,parcovalledeitempli@pec.it,contatti.xml
IT-AG0091,4,telefono,+39 0922622135,contatti.xml
IT-AG0091,5,url,www.regione.sicilia.it/beniculturali/dirbenicult,contatti.xml
IT-AG0093,1,e-mail,bibliotecafondazionesciascia@gmail.com,contatti.xml
IT-AG0093,2,fax,+39 0922941993,contatti.xml
IT-AG0093,3,telefono,+39 0922941993,contatti.xml
IT-AG0093,4,url,https://www.fondazioneleonardosciascia.it/?page_id=12423,contatti.xml
IT-AG0095,1,e-mail,agic820005@istruzione.it,contatti.xml
IT-AG0095,2,fax,+39 0922603167,contatti.xml
IT-AG0095,3,pec,agic820005@pec.istruzione.it,contatti.xml
IT-AG0095,4,telefono,+39 0922603198,contatti.xml
IT-AG0096,1,e-mail,sg.bosco@tin.it,contatti.xml
IT-AG0096,2,telefono,+39 092220717,contatti.xml
IT-AG0097,1,e-mail,agis02300r@istruzione.it,contatti.xml
IT-AG0097,2,fax,+39 0922610148,contatti.xml
IT-AG0097,3,pec,agis02300r@pec.istruzione.it,contatti.xml
IT-AG0097,4,telefono,+39 0922604313,contatti.xml
IT-AG0097,5,url,http://lnx.ipsctgallo.it/nsw/,contatti.xml
IT-AG0098,1,e-mail,incardonarosa@virgilio.it,contatti.xml
IT-AG0098,2,fax,+39 0922950680,contatti.xml
IT-AG0098,3,pec,protocollo.comune.camastra@pec.it,contatti.xml
IT-AG0098,4,telefono,+39 0922954011,contatti.xml
IT-AG0098,5,url,www.comune.camastra.ag.it,contatti.xml
IT-AG0099,1,e-mail,fondazioneguarinoamella@gmail.com,contatti.xml
IT-AG0099,2,fax,+39 0916197250,contatti.xml
IT-AG0099,3,pec,fondazioneguarinoamella@pec.buffetti.it,contatti.xml
IT-AG0099,4,telefono,+39 0922855200,contatti.xml
IT-AG0099,5,telefono,+39 0922855501,contatti.xml
IT-AG0099,6,telefono,+39 091227046,contatti.xml
IT-AG0099,7,url,https://www.fondazioneguarinoamella.org/la-biblioteca.html,contatti.xml
IT-AG0134,1,e-mail,bibliopolo.ag@unipa.it,contatti.xml
IT-AG0134,2,telefono,+39 0922403586,contatti.xml
IT-AG0134,3,url,http://www.unipa.it/biblioteche/le-biblioteche/Poli-didattici-bibliotecari/Biblioteca-del-Polo-Didattico-di-Agrigento/,contatti.xml
IT-AG0135,1,e-mail,agpc010001@istruzione.it,contatti.xml
IT-AG0135,2,e-mail,agpc010001@gmail.com,contatti.xml
IT-AG0135,3,fax,+39 0922553585,contatti.xml
IT-AG0135,4,telefono,+39 092220335,contatti.xml
IT-AG0135,5,url,http://www.liceoempedocle.it/,contatti.xml
IT-AG0136,1,pec,istitutotoscanini@pec.it,contatti.xml
IT-AG0136,2,telefono,+39 092561280,contatti.xml
IT-AG0136,3,url,https://www.conservatoriotoscanini.it/regolamento-della-biblioteca/,contatti.xml
IT-AG0137,1,e-mail,AGIS01700D@istruzione.it,contatti.xml
IT-AG0137,2,pec,AGIS01700D@pec.istruzione.it,contatti.xml
IT-AG0137,3,telefono,+39 0922983223,contatti.xml
IT-AG0137,4,url,https://www.iiss-pirandello-bivona.edu.it/,contatti.xml
IT-AG0137,5,url,https://sites.google.com/iiss-pirandello-bivona.it/istituto-pirandello-bivona/Presentazione-dei-percorsi-liceali/biblioteca-scolastica?authuser=0,contatti.xml
IT-AG0139,1,e-mail,ordinedisangiorgio.naro@gmail.com,contatti.xml
IT-AG0139,2,pec,ordinedisangiorgio.naro@pec.it,contatti.xml
IT-AG0139,3,telefono,+39 3913327579,contatti.xml
IT-AL0001,1,e-mail,al0001@biblioteche.ruparpiemonte.it,contatti.xml
IT-AL0001,2,fax,+39 014457627,contatti.xml
IT-AL0001,3,pec,acqui.terme@cert.ruparpiemonte.it,contatti.xml
IT-AL0001,4,telefono,+39 0144770267,contatti.xml
IT-AL0001,5,telefono,+39 0144770318,contatti.xml
IT-AL0001,6,url,http://biblioteca.comune.acquiterme.al.it/,contatti.xml
IT-AL0002,1,e-mail,biblioteca.civica@comune.alessandria.it,contatti.xml
IT-AL0002,2,fax,+39 0131515902,contatti.xml
IT-AL0002,3,pec,comunedialessandria@legalmail.it,contatti.xml
IT-AL0002,4,telefono,+39 0131515911,contatti.xml
IT-AL0002,5,url,https://www.comune.alessandria.it/servizi/biblioteca-civica,contatti.xml
IT-AL0003,1,e-mail,as-al@cultura.gov.it,contatti.xml
IT-AL0003,2,telefono,+39 0131252794,contatti.xml
IT-AL0003,3,url,https://archiviodistatoalessandria.cultura.gov.it/home-page/servizi-offerti-al-pubblico/biblioteca/,contatti.xml
IT-AL0004,1,e-mail,bibliotecaseminario@diocesialessandria.it,contatti.xml
IT-AL0004,2,telefono,+39 334.1810136,contatti.xml
IT-AL0004,3,url,https://www.beweb.chiesacattolica.it/istituticulturali/istituto/1193/Biblioteca+diocesana+del+Seminario+vescovile,contatti.xml
IT-AL0006,1,telefono,+39 0131264497,contatti.xml
IT-AL0007,1,e-mail,alain.bocchio@aa.camcom.it,contatti.xml
IT-AL0007,2,telefono,+39 0131313350,contatti.xml
IT-AL0007,3,url,www.al.camcom.gov.it/studi,contatti.xml
IT-AL0008,1,e-mail,info@comune.alfianonatta.al.it,contatti.xml
IT-AL0008,2,e-mail,demografici@comune.alfianonatta.al.it,contatti.xml
IT-AL0008,3,fax,+39 0141922123,contatti.xml
IT-AL0008,4,pec,alfianonatta@pec.comune.alfianonatta.al.it,contatti.xml
IT-AL0008,5,telefono,+39 0141922123,contatti.xml
IT-AL0008,6,telefono,+39 3420258595,contatti.xml
IT-AL0008,7,url,www.comune.alfianonatta.it,contatti.xml
IT-AL0009,1,e-mail,info@comune.alicebelcolle.al.it,contatti.xml
IT-AL0009,2,fax,+39 0144745942,contatti.xml
IT-AL0009,3,pec,comune.alicebelcolle.al.@pec.it,contatti.xml
IT-AL0009,4,telefono,+39 014474104,contatti.xml
IT-AL0009,5,url,www.comune.alicebelcolle.al.it,contatti.xml
IT-AL0011,1,e-mail,biblioteca@comune.arquatascrivia.al.it,contatti.xml
IT-AL0011,2,e-mail,chiara.cabano@comune.arquatascrivia.al.it,contatti.xml
IT-AL0011,3,fax,+39 0143600417,contatti.xml
IT-AL0011,4,pec,comune.arquatascrivia.al@legalmail.it,contatti.xml
IT-AL0011,5,telefono,+39 0143600427,contatti.xml
IT-AL0011,6,url,https://www.comune.arquatascrivia.al.it/,contatti.xml
IT-AL0014,1,e-mail,comune@comune.bistagno.al.it,contatti.xml
IT-AL0014,2,fax,+39 014479865,contatti.xml
IT-AL0014,3,pec,comune@pec.comune.bistagno.al.it,contatti.xml
IT-AL0014,4,telefono,+39 014479106,contatti.xml
IT-AL0014,5,url,https://www.comune.bistagno.al.it/it-it/home,contatti.xml
IT-AL0015,1,e-mail,segreteria@comune.borghettodiborbera.al.it,contatti.xml
IT-AL0015,2,fax,+39 0143697298,contatti.xml
IT-AL0015,3,pec,protocollo@cert.comune.borghettodiborbera.al.it,contatti.xml
IT-AL0015,4,telefono,+39 014369101,contatti.xml
IT-AL0016,1,e-mail,info@comune.boscomarengo.al.it,contatti.xml
IT-AL0016,2,fax,+39 0131299686,contatti.xml
IT-AL0016,3,pec,protocollo@pec.comune.boscomarengo.al.it,contatti.xml
IT-AL0016,4,telefono,+39 031299342,contatti.xml
IT-AL0016,5,url,www.comune.boscomarengo.al.it,contatti.xml
IT-AL0017,1,e-mail,info@comune.bosio.al.it,contatti.xml
IT-AL0017,2,pec,comune.bosio.al@legalmail.it,contatti.xml
IT-AL0017,3,telefono,+39 0143684131,contatti.xml
IT-AL0020,1,e-mail,carpeneto@ruparpiemonte.it,contatti.xml
IT-AL0020,2,pec,carpeneto@cert.ruparpiemonte.it,contatti.xml
IT-AL0020,3,telefono,+39 014385123,contatti.xml
IT-AL0020,4,url,www.comune.carpeneto.it,contatti.xml
IT-AL0021,1,e-mail,comunedicasalcermelli.co@tin.it,contatti.xml
IT-AL0021,2,pec,comune.casalcermelli@pec.it,contatti.xml
IT-AL0021,3,telefono,+39 0131279575,contatti.xml
IT-AL0024,1,e-mail,biblsem@virgilio.it,contatti.xml
IT-AL0024,2,telefono,+39 0142.452219,contatti.xml
IT-AL0024,3,url,https://www.beweb.chiesacattolica.it/istituticulturali/istituto/1382/Biblioteca+del+Seminario+vescovile,contatti.xml
IT-AL0024,4,url,http://https://www.beweb.chiesacattolica.it/istituticulturali/istituto/1382/Casale+Monferrato+%7C+Biblioteca+del+Seminario+vescovile,contatti.xml
IT-AL0024,5,url,http://https://www.comune.casale-monferrato.al.it/biblioteca-seminario,contatti.xml
IT-AL0026,1,e-mail,gcvaccari@libero.it,contatti.xml
IT-AL0026,2,fax,+39 0143477285,contatti.xml
IT-AL0026,3,pec,protocollo.cassano.spinola@cert.ruparpiemonte.it,contatti.xml
IT-AL0026,4,telefono,+39 014347117,contatti.xml
IT-AL0027,1,e-mail,segreteria@comune.cassine.al.it,contatti.xml
IT-AL0027,2,fax,+39 0144714258,contatti.xml
IT-AL0027,3,pec,protocollo.cassine@cert.ruparpiemonte.it,contatti.xml
IT-AL0027,4,telefono,+39 0144715376,contatti.xml
IT-AL0027,5,telefono,+39 0144715151,contatti.xml
IT-AL0027,6,url,www.comune.cassine.al.it,contatti.xml
IT-AL0029,1,e-mail,info@comune.castellarguidobono.al.it,contatti.xml
IT-AL0029,2,pec,protocollo@pec.comune.castellarguidobono.al.it,contatti.xml
IT-AL0029,3,telefono,+39 0131898053,contatti.xml
IT-AL0029,4,url,https://www.comune.castellarguidobono.al.it,contatti.xml
IT-AL0030,1,e-mail,biblioteca@comunecastellazzobormida.it,contatti.xml
IT-AL0030,2,fax,+39 0131270774,contatti.xml
IT-AL0030,3,pec,castellazzobormida@legalmail.it,contatti.xml
IT-AL0030,4,telefono,+39 0131272832,contatti.xml
IT-AL0030,5,url,https://www.comune.castellazzobormida.al.it/it-it/servizi/vivere-il-tempo-libero-e-la-cultura-c/biblioteca-132-35-1-bab4c5adfc74c53e0771c83e6543fd2a,contatti.xml
IT-AL0031,1,e-mail,biblioteca@comune.castellettodorba.al.it,contatti.xml
IT-AL0031,2,pec,castorba@actaliscertymail.it,contatti.xml
IT-AL0031,3,telefono,+39 0143827176,contatti.xml
IT-AL0031,4,url,http://comune.castellettodorba.al.it/,contatti.xml
IT-AL0033,1,e-mail,biblioteca@comune.castelnuovoscrivia.al.it,contatti.xml
IT-AL0033,2,pec,protocollo@pec.comune.castelnuovoscrivia.al.it,contatti.xml
IT-AL0033,3,telefono,+39 0131826754,contatti.xml
IT-AL0033,4,url,https://www.comune.castelnuovoscrivia.al.it/it/vivere/740597,contatti.xml
IT-AL0034,1,e-mail,segreteria@comune.castelspina.al.it,contatti.xml
IT-AL0034,2,pec,comune.castelspina@pec.it,contatti.xml
