isil,source_status,normalized_status,analytical_group,include_in_main_analysis,target_isil,rationale
IT-AG0033,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0034,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0036,Temporaneamente chiusa,TEMPORANEAMENTE_CHIUSA,INTERRUZIONE_DEL_SERVIZIO,True,,Stato ICCU che segnala una chiusura temporanea.
IT-AG0037,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0038,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0039,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0040,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0041,Biblioteca non censita,BIBLIOTECA_NON_CENSITA,INCOMPLETEZZA_STATO_ANAGRAFICO,False,,ICCU indica insufficienza informativa oltre nome/indirizzo; non è evidenza di chiusura.
IT-AG0042,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0043,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0044,Temporaneamente chiusa,TEMPORANEAMENTE_CHIUSA,INTERRUZIONE_DEL_SERVIZIO,True,,Stato ICCU che segnala una chiusura temporanea.
IT-AG0045,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0046,Biblioteca non censita,BIBLIOTECA_NON_CENSITA,INCOMPLETEZZA_STATO_ANAGRAFICO,False,,ICCU indica insufficienza informativa oltre nome/indirizzo; non è evidenza di chiusura.
IT-AG0047,Biblioteca non censita,BIBLIOTECA_NON_CENSITA,INCOMPLETEZZA_STATO_ANAGRAFICO,False,,ICCU indica insufficienza informativa oltre nome/indirizzo; non è evidenza di chiusura.
IT-AG0048,Biblioteca non censita,BIBLIOTECA_NON_CENSITA,INCOMPLETEZZA_STATO_ANAGRAFICO,False,,ICCU indica insufficienza informativa oltre nome/indirizzo; non è evidenza di chiusura.
IT-AG0049,Biblioteca confluita in IT-AG0078,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-AG0078,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.
IT-AG0050,Biblioteca non censita,BIBLIOTECA_NON_CENSITA,INCOMPLETEZZA_STATO_ANAGRAFICO,False,,ICCU indica insufficienza informativa oltre nome/indirizzo; non è evidenza di chiusura.
IT-AG0051,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0052,Biblioteca non censita,BIBLIOTECA_NON_CENSITA,INCOMPLETEZZA_STATO_ANAGRAFICO,False,,ICCU indica insufficienza informativa oltre nome/indirizzo; non è evidenza di chiusura.
IT-AG0054,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0055,Biblioteca in via di allestimento,BIBLIOTECA_IN_VIA_DI_ALLESTIMENTO,AVVIO,False,,Biblioteca registrata ma non ancora in attività ordinaria; categoria distinta dalle chiusure.
IT-AG0058,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0059,Biblioteca non censita,BIBLIOTECA_NON_CENSITA,INCOMPLETEZZA_STATO_ANAGRAFICO,False,,ICCU indica insufficienza informativa oltre nome/indirizzo; non è evidenza di chiusura.
IT-AG0060,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0061,Biblioteca non censita,BIBLIOTECA_NON_CENSITA,INCOMPLETEZZA_STATO_ANAGRAFICO,False,,ICCU indica insufficienza informativa oltre nome/indirizzo; non è evidenza di chiusura.
IT-AG0062,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0064,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0065,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0066,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0067,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0068,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0069,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0070,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0071,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0072,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0073,Biblioteca non censita,BIBLIOTECA_NON_CENSITA,INCOMPLETEZZA_STATO_ANAGRAFICO,False,,ICCU indica insufficienza informativa oltre nome/indirizzo; non è evidenza di chiusura.
IT-AG0074,Biblioteca non censita,BIBLIOTECA_NON_CENSITA,INCOMPLETEZZA_STATO_ANAGRAFICO,False,,ICCU indica insufficienza informativa oltre nome/indirizzo; non è evidenza di chiusura.
IT-AG0075,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0078,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0079,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0080,Biblioteca confluita in IT-AG0007,BIBLIOTECA_CONFLUITA,TRASFORMAZIONE_ORGANIZZATIVA,False,IT-AG0007,Confluenza/assorbimento organizzativo; non assimilata automaticamente a chiusura o cessazione.
IT-AG0085,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0087,Biblioteca non censita,BIBLIOTECA_NON_CENSITA,INCOMPLETEZZA_STATO_ANAGRAFICO,False,,ICCU indica insufficienza informativa oltre nome/indirizzo; non è evidenza di chiusura.
IT-AG0089,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0090,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0091,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0092,Biblioteca non censita,BIBLIOTECA_NON_CENSITA,INCOMPLETEZZA_STATO_ANAGRAFICO,False,,ICCU indica insufficienza informativa oltre nome/indirizzo; non è evidenza di chiusura.
IT-AG0093,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0094,Biblioteca non censita,BIBLIOTECA_NON_CENSITA,INCOMPLETEZZA_STATO_ANAGRAFICO,False,,ICCU indica insufficienza informativa oltre nome/indirizzo; non è evidenza di chiusura.
IT-AG0095,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0096,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0097,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0098,Temporaneamente chiusa,TEMPORANEAMENTE_CHIUSA,INTERRUZIONE_DEL_SERVIZIO,True,,Stato ICCU che segnala una chiusura temporanea.
IT-AG0099,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0134,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0135,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0136,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0137,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0138,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AG0139,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AL0001,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AL0002,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AL0003,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AL0004,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AL0005,Biblioteca non più esistente,BIBLIOTECA_NON_PIU_ESISTENTE,CESSAZIONE,True,,ICCU documenta la cessazione dell'istituzione/servizi/posseduto senza confluenza del patrimonio.
IT-AL0006,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AL0007,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AL0008,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AL0009,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AL0011,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AL0013,Biblioteca non più esistente,BIBLIOTECA_NON_PIU_ESISTENTE,CESSAZIONE,True,,ICCU documenta la cessazione dell'istituzione/servizi/posseduto senza confluenza del patrimonio.
IT-AL0014,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AL0015,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AL0016,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AL0017,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AL0020,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AL0021,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AL0023,Biblioteca non più esistente,BIBLIOTECA_NON_PIU_ESISTENTE,CESSAZIONE,True,,ICCU documenta la cessazione dell'istituzione/servizi/posseduto senza confluenza del patrimonio.
IT-AL0024,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AL0026,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AL0027,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AL0029,Temporaneamente chiusa,TEMPORANEAMENTE_CHIUSA,INTERRUZIONE_DEL_SERVIZIO,True,,Stato ICCU che segnala una chiusura temporanea.
IT-AL0030,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AL0031,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AL0032,Biblioteca non censita,BIBLIOTECA_NON_CENSITA,INCOMPLETEZZA_STATO_ANAGRAFICO,False,,ICCU indica insufficienza informativa oltre nome/indirizzo; non è evidenza di chiusura.
IT-AL0033,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AL0034,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AL0036,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AL0037,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AL0038,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AL0039,Biblioteca non più esistente,BIBLIOTECA_NON_PIU_ESISTENTE,CESSAZIONE,True,,ICCU documenta la cessazione dell'istituzione/servizi/posseduto senza confluenza del patrimonio.
IT-AL0040,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AL0041,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AL0042,Biblioteca non più esistente,BIBLIOTECA_NON_PIU_ESISTENTE,CESSAZIONE,True,,ICCU documenta la cessazione dell'istituzione/servizi/posseduto senza confluenza del patrimonio.
IT-AL0046,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AL0047,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AL0048,Temporaneamente chiusa,TEMPORANEAMENTE_CHIUSA,INTERRUZIONE_DEL_SERVIZIO,True,,Stato ICCU che segnala una chiusura temporanea.
IT-AL0049,Biblioteca non censita,BIBLIOTECA_NON_CENSITA,INCOMPLETEZZA_STATO_ANAGRAFICO,False,,ICCU indica insufficienza informativa oltre nome/indirizzo; non è evidenza di chiusura.
IT-AL0050,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AL0053,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AL0054,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
IT-AL0055,Biblioteca non più esistente,BIBLIOTECA_NON_PIU_ESISTENTE,CESSAZIONE,True,,ICCU documenta la cessazione dell'istituzione/servizi/posseduto senza confluenza del patrimonio.
IT-AL0056,,NESSUNO_STATO_SPECIALE_REGISTRATO,NESSUNO_STATO_SPECIALE_REGISTRATO,False,,Valore NULL nel campo ICCU: indica assenza di stato speciale registrato; non viene interpretato come biblioteca aperta.
